Aulas Teoricas,História da Informática e História da Internet
Fundamentos,Fundamentos Básicos de Digitação
Aulas Práticas,Manipulação de Ferramentas de Escritório (Planilhas e Editores de Texto)
Aulas Técnicas,Técnicas profissionais de utilização da informática
